chunk_id,title,source,page_content
1,Inception,https://en.wikipedia.org/wiki/Inception,"Inception - Wikipedia






























Jump to content







Main menu





Main menu
move to sidebar
hide



		Navigation
	


Main pageContentsCurrent eventsRandom articleAbout WikipediaContact us





		Contribute
	


HelpLearn to editCommunity portalRecent changesUpload fileSpecial pages



















Search











Search






















Appearance
















Donate

Create account

Log in








Personal tools






Donate


Create account


Log in"
2,Inception,https://en.wikipedia.org/wiki/Inception,"Donate


Create account


Log in





























Contents
move to sidebar
hide




(Top)





1
Plot








2
Cast








3
Production




Toggle Production subsection





3.1
Development








3.2
Locations and sets








3.3
Cinematography








3.4
Visual effects










4
Music








5
Themes




Toggle Themes subsection





5.1
Reality and dreams








5.2
Dreams and cinema










6
Cinematic technique




Toggle Cinematic technique subsection"
3,Inception,https://en.wikipedia.org/wiki/Inception,"Toggle Cinematic technique subsection





6.1
Genre








6.2
Ending










7
Release




Toggle Release subsection





7.1
Marketing








7.2
Home media








7.3
Putative video game








7.4
10th anniversary re-release










8
Reception




Toggle Reception subsection





8.1
Box office








8.2
Critical response








8.3
Year-end and all-time lists








8.4
Top ten lists










9
Accolades








10
In popular culture








11
See also








12
Notes"
4,Inception,https://en.wikipedia.org/wiki/Inception,"11
See also








12
Notes








13
References








14
Further reading








15
External links


















Toggle the table of contents







Inception



83 languages"
5,Inception,https://en.wikipedia.org/wiki/Inception,AfrikaansAragonésالعربيةمصرىAsturianuAzərbaycancaتۆرکجهБеларуская (тарашкевіца)БеларускаяБългарскиবাংলাCatalàCebuanoکوردیČeštinaCymraegDanskDeutschZazakiΕλληνικάEsperantoEspañolEestiEuskaraفارسیSuomiFrançaisGalegoעבריתहिन्दीHrvatskiKreyòl ayisyenMagyarՀայերենBahasa IndonesiaÍslenskaItaliano日本語JawaქართულიҚазақшаಕನ್ನಡ한국어КыргызчаLatinaLëtzebuergeschLimburgsLombardLietuviųLatviešuМокшеньМакедонскиമലയാളംМонголमराठीBahasa MelayuمازِرونیनेपालीNederlandsNorsk
6,Inception,https://en.wikipedia.org/wiki/Inception,MelayuمازِرونیनेपालीNederlandsNorsk bokmålਪੰਜਾਬੀPolskiPortuguêsRomânăРусскийSimple EnglishSlovenčinaSlovenščinaСрпски / srpskiSundaSvenskaதமிழ்ไทยTürkçeУкраїнськаاردوOʻzbekcha / ўзбекчаTiếng Việt吴语მარგალური閩南語 / Bân-lâm-gí粵語中文
7,Inception,https://en.wikipedia.org/wiki/Inception,"Edit links











Article

Talk






English

















Read

Edit

View history









Tools





Tools
move to sidebar
hide



		Actions
	



Read


Edit


View history






		General
	


What links hereRelated changesUpload filePermanent linkPage informationCite this pageGet shortened URLSwitch to legacy parser





		Print/export
	


Download as PDFPrintable version





		In other projects
	


Wikimedia CommonsWikiquoteWikidata item"
8,Inception,https://en.wikipedia.org/wiki/Inception,"Appearance
move to sidebar
hide












From Wikipedia, the free encyclopedia


2010 film by Christopher Nolan
This article is about the 2010 film. For the self-similarity concept, see Recursion. For other uses, see Inception (disambiguation)."
9,Inception,https://en.wikipedia.org/wiki/Inception,"InceptionTheatrical release posterDirected byChristopher NolanWritten byChristopher NolanProduced by
Emma Thomas
Christopher Nolan
Starring
Leonardo DiCaprio
Ken Watanabe
Joseph Gordon-Levitt
Marion Cotillard
Elliot Page[a]
Tom Hardy
Cillian Murphy
Tom Berenger
Michael Caine
CinematographyWally PfisterEdited byLee SmithMusic byHans ZimmerProductioncompanies
Legendary Pictures[1]
Syncopy[1]
Distributed byWarner Bros. Pictures[1]Release dates
July 8, 2010 (2010-07-08) (Odeon Leicester Square)"
10,Inception,https://en.wikipedia.org/wiki/Inception,"July 16, 2010 (2010-07-16) (United States and United Kingdom)
Running time148 minutes[2]Countries
United States[3]
United Kingdom[3]
LanguageEnglishBudget$160 million[4]Box office$839 million[4]"
